date, rr, since_start, window, lap
2017-06-23 17:13:28 +0000, 877.000000, 49037.000000, 6, 0 
2017-06-23 17:13:29 +0000, 976.000000, 50013.000000, 6, 0 
2017-06-23 17:13:30 +0000, 963.000000, 50976.000000, 6, 0 
2017-06-23 17:13:31 +0000, 1030.000000, 52006.000000, 6, 0 
2017-06-23 17:13:32 +0000, 1016.000000, 53022.000000, 6, 0 
2017-06-23 17:13:33 +0000, 939.000000, 53961.000000, 6, 0 
2017-06-23 17:13:34 +0000, 924.000000, 54885.000000, 6, 0 
2017-06-23 17:13:35 +0000, 775.000000, 55660.000000, 7, 0 
2017-06-23 17:13:35 +0000, 732.000000, 56392.000000, 7, 0 
2017-06-23 17:13:36 +0000, 729.000000, 57121.000000, 7, 0 
2017-06-23 17:13:37 +0000, 742.000000, 57863.000000, 7, 0 
2017-06-23 17:13:38 +0000, 846.000000, 58709.000000, 7, 0 
2017-06-23 17:13:39 +0000, 880.000000, 59589.000000, 7, 0 
2017-06-23 17:13:39 +0000, 906.000000, 60495.000000, 7, 0 
2017-06-23 17:13:40 +0000, 962.000000, 61457.000000, 7, 0 
2017-06-23 17:13:41 +0000, 1003.000000, 62460.000000, 7, 0 
2017-06-23 17:13:42 +0000, 1017.000000, 63477.000000, 7, 0 
2017-06-23 17:13:43 +0000, 1013.000000, 64490.000000, 7, 0 
2017-06-23 17:13:44 +0000, 1002.000000, 65492.000000, 7, 0 
2017-06-23 17:13:45 +0000, 921.000000, 66413.000000, 8, 0 
2017-06-23 17:13:46 +0000, 821.000000, 67234.000000, 8, 0 
2017-06-23 17:13:47 +0000, 709.000000, 67943.000000, 8, 0 
2017-06-23 17:13:47 +0000, 729.000000, 68672.000000, 8, 0 
2017-06-23 17:13:48 +0000, 710.000000, 69382.000000, 8, 0 
2017-06-23 17:13:49 +0000, 833.000000, 70215.000000, 8, 0 
2017-06-23 17:13:50 +0000, 869.000000, 71084.000000, 8, 0 
2017-06-23 17:13:51 +0000, 905.000000, 71989.000000, 8, 0 
2017-06-23 17:13:52 +0000, 924.000000, 72913.000000, 8, 0 
2017-06-23 17:13:53 +0000, 1004.000000, 73917.000000, 8, 0 
2017-06-23 17:13:53 +0000, 972.000000, 74889.000000, 8, 0 
2017-06-23 17:13:54 +0000, 1012.000000, 75901.000000, 8, 0 
